MUNICIPIO,MUNICIPIO_2,POBLACION,AÑO
Aldamas,ALDAMAS,1374,2014
Herreras,HERRERAS,2030,2014
Ramones,RAMONES,5359,2014
Marin,MARIN,5488,2014
Melchor Ocampo,MELCHOR OCAMPO,862,2014
Mier Y Noriega,MIER Y NORIEGA,7095,2014
Mina,MINA,5447,2014
Montemorelos,MONTEMORELOS,59113,2014
Monterrey,MONTERREY,1135550,2014
Paras,PARAS,1034,2014
Pesqueria ,PESQUERIA ,20843,2014
Rayones,RAYONES,2628,2014
Sabinas Hidalgo,SABINAS HIDALGO,34671,2014
Salinas Victoria,SALINAS VICTORIA,32660,2014
San Nicolas De Los Garza,SAN NICOLAS DE LOS GARZA,443273,2014
San Pedro Garza Garcia,SAN PEDRO GARZA GARCIA,122659,2014
Santa Catarina,SANTA CATARINA,268955,2014
Santiago,SANTIAGO,40469,2014
Vallecillo,VALLECILLO,1971,2014
Villaldama,VILLALDAMA,4113,2014
Nuevo Leon,NUEVO LEON,5119504,2015
Abasolo,ABASOLO,2639,2015
Agualeguas,AGUALEGUAS,2439,2015
Allende,ALLENDE,34353,2015
Anahuac,ANAHUAC,18194,2015
Apodaca,APODACA,597207,2015
Aramberri,ARAMBERRI,16152,2015
Bustamante,BUSTAMANTE,3977,2015
Cadereyta Jimenez,CADEREYTA JIMENEZ,95534,2015
El Carmen,EL CARMEN,38306,2015
Cerralvo,CERRALVO,7757,2015
China,CHINA,10835,2015
Cienega De Flores,CIENEGA DE FLORES,42715,2015
Dr. Arroyo,DR. ARROYO,34110,2015
Dr. Coss,DR. COSS,1632,2015
Dr. Gonzalez,DR. GONZALEZ,2861,2015
Galeana,GALEANA,41130,2015
Garcia,GARCIA,247370,2015
Gral Bravo,GRAL BRAVO,5479,2015
Gral Escobedo,GRAL ESCOBEDO,425148,2015
Gral Teran,GRAL TERAN,14795,2015
Gral Treviño,GRAL TREVIÑO,1044,2015
Zaragoza,ZARAGOZA,6011,2015
Gral Zuazua,GRAL ZUAZUA,67294,2015
Guadalupe,GUADALUPE,682880,2015
Hidalgo,HIDALGO,13836,2015
Higueras,HIGUERAS,1511,2015
Hualahuises,HUALAHUISES,6921,2015
Iturbide,ITURBIDE,3571,2015
Juarez,JUAREZ,333481,2015
Lampazos,LAMPAZOS,5238,2015
Linares,LINARES,79853,2015
Aldamas,ALDAMAS,1292,2015
Herreras,HERRERAS,1764,2015
Ramones,RAMONES,4469,2015
Marin,MARIN,5630,2015
Melchor Ocampo,MELCHOR OCAMPO,955,2015
Mier Y Noriega,MIER Y NORIEGA,6996,2015
