id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,localidad,latitud,longitud
2953554,JARDÍN DE NIÑOS MANUEL PAYNO CLAVE 19DJN0490J TURNO MATUTINO,SEP ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Ciudad General Escobedo                                                                                       ,25.76951316,-100.2889495
3048409,JARDIN DE NIÑOS MANUEL RDZ VIZCARRA,,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Ciudad Apodaca                                                                                                ,25.79569966,-100.2654116
3010603,JARDIN DE NIÑOS MANUEL SANTOS GONZALEZ,SEP ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Bustamante                                                                                                    ,26.53518116,-100.5004922
2939349,JARDIN DE NIÑOS MANUEL SANTOS GONZALEZ,SEP ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Bustamante                                                                                                    ,26.53520359,-100.5004997
3027560,JARDIN DE NIÑOS MANUEL TAMEZ GARZA,GOBIERNO DEL ESTADO ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Santiago                                                                                                      ,25.42208006,-100.1509123
3037468,JARDIN DE NIÑOS MANUEL VIVANCO,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Linares                                                                                                       ,24.86647373,-99.56759471
2947860,JARDIN DE NIÑOS MARGARITA DE GORTARI CARVAJAL,SEP ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Ciudad Apodaca                                                                                                ,25.7920794,-100.2527613
3020464,JARDIN DE NIÑOS MARGARITA MAZA DE JUAREZ,GOBIERNO ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,San Nicolás de los Garza                                                                                      ,25.76459159,-100.2831851
3029543,JARDIN DE NIÑOS MARGARITA MAZA DE JUAREZ,FEDERAL ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Monterrey                                                                                                     ,25.69905099,-100.293769
2917658,JARDIN DE NIÑOS MARGARITA MAZA DE JUAREZ 19DJN2055V,SEP GOBIERNO FEDERAL ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Guadalupe                                                                                                     ,25.67240767,-100.224946
2917657,JARDIN DE NIÑOS MARGARITA MAZA DE JUAREZ T.M. 19DJN188Y,SECRETARÍA DE EDUCACIÓN PÚBLICA FEDERAL ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,Guadalupe                                                                                                     ,25.67241344,-100.2249448
3006498,JARDIN DE NIÑOS MARGARITA Z DE GARZA,,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,San Nicolás de los Garza                                                                                      ,25.7526549,-100.2809559
3054667,JARDIN DE NIÑOS MARIA ANTONIA GUTIERREZ ABARTE,,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Monterrey                                                                                                     ,25.76614034,-100.394546
2998338,JARDIN DE NIÑOS MARIA CENOBIA RIOS SALAZAR.T.M,SECRETARÍA DE EDUCACIÓN PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Cadereyta Jiménez                                                                                             ,25.58001367,-100.0229581
3020965,JARDIN DE NIÑOS MARIA CENOBIA SALAZAR RIOS. TV,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Cadereyta Jiménez                                                                                             ,25.579993,-100.0230677
3008515,JARDIN DE NIÑOS MARIA CRISTINA TREVIÑO TAMEZ,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Guadalupe                                                                                                     ,25.68151953,-100.1720911
3008513,JARDIN DE NIÑOS MARIA CRISTINA TREVIÑO TAMEZ,EL GOBIERNO ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,Guadalupe                                                                                                     ,25.68145228,-100.1720147
8260820,JARDIN DE NIÑOS MARIA CURIE,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,San Rafael                                                                                                    ,25.03171384,-100.5481771
3016610,JARDIN DE NIÑOS MARIA DE LOS ANGELES MARTINEZ MONTEMAYOR,GOBIERNO ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Ciudad Santa Catarina                                                                                         ,25.69972943,-100.4353199
3041888,JARDÍN DE NIÑOS MARIA DEL CARMEN VALDEZ GARZA TM,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Monterrey                                                                                                     ,25.78375903,-100.3971245
